,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,,,,,,,Platz
GER,9027,Wolfgang Hunger,Julien Kleiner,PYC,2,1,1,1,2,2,3,2,2,1,DNC,,1
GER,9054,Morten Bogacki,Lars Dehne,DYC,3,4,2,18,4,15,10,5,7,2,2,,2
GER,8875,Jens Findel,Johannes Tellen,KYC,19,3,5,4,22,7,2,1,4,8,9,,3
GER,9090,Tobias Schadewaldt,Martin Schöler,DSC,21,2,4,2,3,21,1,6,1,9,15,,4
GER,9102,Meike Schomäker,Holger Jess,ZSK,10,14,8,7,16,4,11,4,3,3,1,,5
GER,9035,Stefan Böhm,Gerald Roos,SCV,18,8,3,10,1,6,12,3,8,5,11,,6
USA,8878,Edward Conrads,Brian Haines,,11,5,9,9,5,13,13,19,12,6,13,,7
GER,9070,Stefan Köchlin,Andreas Achterberg,SKF,9,9,18,37,19,8,6,12,5,12,3,,8
DEN,8964,Jan Saugmann,Martin Görge,HiS,5,15,7,38,15,17,4,9,17,17,4,,9
GER,8927,Ulf Pleßmann,Hans-Heinrich Rix,AYC,17,13,29,14,14,5,9,10,10,16,7,,10
DEN,9062,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,HS,12,7,6,12,10,1,7,8,DNC,4,DNC,,11
GER,8992,Claas Lehmann,Leon Oehme,NRV,16,16,27,3,18,16,8,18,6,14,6,,12
GER,8929,Tom Gosch,Rolf Meyer,ENSFV,15,10,12,23,12,24,16,7,11,15,12,,13
GBR,9067,Bertrand Loyal,Laurant Nevo,,4,11,10,6,27,9,22,20,13,21,21,,14
GER,8928,Stephan Schweiger,Axel Priegann,SCLW,26,6,DNF,15,8,11,5,17,9,18,22,,15
GER,9059,Sophie Heyer,Sebastian Salein,JSC,1,23,17,8,30,3,23,23,28,7,14,,16
GER,9020,Tim Böger,Markus Schöner,HSC,8,DNC,DNC,5,6,10,14,15,20,13,16,,17
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,29,17,19,21,28,25,15,13,14,10,5,,18
FRA,9075,Philippe Boite,Benjamin Thomas,CVM,30,18,14,19,9,20,24,11,16,28,8,,19
DEN,8958,Nikolaj Buhl,Henrik Buhl,,DNC,21,11,11,21,32,17,26,15,22,10,,20
SUI,9096,Cedric Bart,Rene Betschen,CNB,14,12,13,26,13,14,DNC,25,26,20,23,,21
GER,9011,Michael Daisenberger,Tobi Bolduan,DTYC,34,22,21,28,11,27,21,21,23,11,17,,22
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,13,29,24,17,26,12,18,22,21,27,29,,23
AUS,9028,Earle Alexander,John McLean,RQYS,28,20,16,16,34,36,20,16,19,33,25,,24
GER,9043,Nicola Birkner,Angela Stenger,SVaW,25,36,28,27,23,19,31,24,22,23,19,,25
GER,8988,Oliver Thies,Arne Lanatowitz,,DNC,24,15,33,17,37,19,31,18,25,31,,26
FRA,8716,Aline Martin,Fabrice Toupet,,23,25,36,25,31,18,35,27,DNC,19,26,,27
GER,8972,Ronald Roos,Morten Roos,SVWu,35,27,20,30,24,31,29,24,30,27,0,,28
FRA,8870,Christian Silvestre,Nicolas Auberger,CVB,27,30,30,39,36,33,30,28,31,24,24,,29
GER,8990,Frieder Achterberg,Wolfgang Stückl,DTYC,6,19,22,13,7,22,DNC,DNC,DNC,DNC,DNC,,30
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,37,33,26,40,35,29,27,14,DNC,32,28,,31
GER,8609,Jörn Wille,Martin Bergmann,MSC,39,38,32,34,25,26,33,35,29,36,32,,32
GER,8843,Oliver Kraft,Frank Heimburger,SSCM,44,42,23,32,33,38,26,33,25,35,34,,33
GER,9040,Norbert Dasenbrook,Sven Meier,KSW,20,26,DNC,31,29,23,DNC,DNC,DNC,26,18,,34
GER,8962,Sophie Söllner,Pia Matscheroth-Brodwurm,CYC,7,31,DNC,DNC,DNC,DNC,DNC,30,27,29,20,,35
SWE,8912,Tom Hastenpflug,Thomas Bretschneider,,33,34,25,29,32,30,DNC,DNC,DNC,37,30,,36
FRA,8904,Julien Lafortune,Nicolas Martin,CVSP,36,37,31,35,39,34,34,32,32,DNC,DNC,,37
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,42,41,35,36,40,39,DNC,38,30,38,35,,38
GER,8874,Henning Steffen,Tilman Giesen,SLRV,31,40,DNC,41,37,40,38,36,DNC,34,33,,39
FRA,8899,Alain Karadjan,Thomas Jung,,22,39,33,DNC,DNC,35,32,37,DNC,31,DNC,,40
